show_id,type,title,director,cast,country,agerating,duration,listed_in,description,platform
s5471,TV Show,Halt and Catch Fire,unknown,"Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé, Toby Huss, Aleksa Palladino, David Wilson Barnes, Morgan Hinkleman, James Cromwell, Manish Dayal, Annabeth Gish",United States,TV-14,4 Seasons,TV Dramas,"Re-creating the dawn of the personal computer era, this digital drama tracks the fates of an industry visionary and his brilliant colleagues.",Netflix
s5472,Movie,Judd Apatow: The Return,Marcus Raboy,Judd Apatow,United States,TV-MA,70 min,Stand-Up Comedy,"Judd Apatow returns to stand-up comedy after 25 years, riffing on living with three women, amusing moments from his career and much more.",Netflix
s5473,TV Show,Dawai Asmara,unknown,"Hanna Aqiela, Tengku Putri Najuwa, Emelie Hanif, Zoey Rahman, Faiez Affandi, Wanny Mustahfah, Sherie Merlis, Mahmud Alibashah, Zalfa Zin, Kamal Ibrahim, Amanda Hariz, Alesha Hariz, Fathimah Az Zahra, Elya Miera Ismail",unknown,TV-14,1 Season,"International TV Shows, TV Dramas","Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents.",Netflix
s5474,Movie,Percy Jackson & The Olympians: The Lightning Thief,Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Sean Bean, Pierce Brosnan, Steve Coogan","United Kingdom, Canada, United States",PG,119 min,"Action-Adventure, Family, Fantasy",A boy discovers he's the descendant of Poseidon and must settle an on-going battle between the gods.,Disney+
s5475,TV Show,Code Lyoko,unknown,"Raphaelle Bruneau, Sophie Landresse, Marie-Line Landerwyn, Géraldine Frippiat, Carole Baillien, Bruno Mullenaerts, Frédéric Meaux","France, Belgium",TV-Y7,4 Seasons,Kids' TV,"After discovering a parallel universe hidden inside a supercomputer, four students must stop a renegade virus from destroying the secret world.",Netflix
s5476,Movie,El Camino Christmas,David E. Talbert,"Jessica Alba, Tim Allen, Dax Shepard, Vincent D'Onofrio, Luke Grimes, Kurtwood Smith, Michelle Mylett",United States,TV-MA,89 min,"Comedies, Dramas","Stuck in a liquor store during an alleged robbery, a group of strangers shares hidden truths and forms an unexpected bond on Christmas Eve.",Netflix
s5477,Movie,Jaal,Umesh Mehra,"Jeetendra, Mithun Chakraborty, Rekha, Mandakini, Moon Moon Sen, Vinod Mehra, Tanuja, Amrit Pal",India,TV-14,162 min,"Action & Adventure, International Movies","When a mysterious woman hires Shankar to spy on a family, he must determine how his own father's abandonment figures into the situation.",Netflix
s5478,Movie,Shikari,"Latif Faiziyev, Umesh Mehra","Mithun Chakraborty, Naseeruddin Shah, Irina Kushnareva, Varsha Usgaonkar, Gulshan Grover, Anjana Mumtaz, Amrish Puri, Amrit Pal, Achyut Potdar, Lilliput","India, Soviet Union",TV-14,163 min,"Dramas, International Movies, Music & Musicals","When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise.",Netflix
s5479,Movie,The Secret,Drew Heriot,unknown,"Australia, United States",TV-14,91 min,"Documentaries, Faith & Spirituality","An assembly of writers, philosophers and scientists share The Secret, which reputedly brought success to Plato, da Vinci, Einstein and other greats.",Netflix
s5480,Movie,Trolls Holiday Special,Joel Crawford,"Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse, James Corden, Ron Funches, Kunal Nayyar, Aino Jawo, Caroline Hjelt, Walt Dohrn",United States,TV-Y7,27 min,"Children & Family Movies, Comedies, Music & Musicals","When Queen Poppy realizes that Bridget and the Bergens don't have any holidays, she hatches a plan for Branch and the Snack Pack to help create one.",Netflix
s5481,Movie,Craig Ferguson: Tickle Fight,Jay Chapman,Craig Ferguson,United States,TV-MA,67 min,Stand-Up Comedy,"Cheeky comic Craig Ferguson keeps it casual as he discusses '70s porn, Japanese toilets and his mildly crime-filled days as a talk show host.",Netflix
s5482,Movie,Jab Harry Met Sejal,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Aru Krishansh Verma, Chandan Roy Sanyal, Evelyn Sharma, Kavi Shastri, Barbora Mudrochova, Paula Donner, Denis Dorokhov, Martavious Gayles",India,TV-MA,142 min,"Comedies, International Movies, Romantic Movies",A philandering tour guide in Europe begins to develop feelings for one of his clients while helping her search for her lost engagement ring.,Netflix
s5483,Movie,Temple,Michael Barrett,"Logan Huffman, Natalia Warner, Brandon Sklenar, Naoto Takenaka, Asahi Uchida, Mei Kurokawa, Hisashi Miyazawa, Miho Tamaki, Seiki Chiba, Yoshimi Tachi","Japan, United States",TV-MA,78 min,"Horror Movies, Independent Movies",Three unsuspecting American tourists visit a mysterious mountain shrine in Japan despite uncanny warnings from local inhabitants to stay away.,Netflix
s5484,Movie,A StoryBots Christmas,"Evan Spiridellis, Jeff Gill","Edward Asner, Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis, Jim Meskimen, Nate Theis",United States,TV-Y,26 min,"Children & Family Movies, Comedies","Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus – only to find he's missing.",Netflix
s5485,TV Show,All Hail King Julien,unknown,"Danny Jacobs, Andy Richter, Henry Winkler, Kevin Michael Richardson, India de Beaufort, Jeff Bennett, David Krumholtz, Diedrich Bader, Debra Wilson, Sarah Thyre, Betsy Sodaro",United States,TV-Y7,5 Seasons,"Kids' TV, TV Comedies","In this Emmy winner for Outstanding Children's Animated Program, Madagascar booty-shaker King Julien takes on the jungle’s craziest adventures.",Netflix
s5486,TV Show,Colony,unknown,"Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Amanda Righetti, Tory Kittles, Isabella Crovetti, Alex Neustaedter",United States,TV-14,3 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son.",Netflix
s5487,TV Show,Secrets of Wild India,unknown,David Attenborough,United Kingdom,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",'Secrets of Wild India' celebrates the diversity and drama of India's extraordinary landscapes.,Disney+
s5488,TV Show,Dhia Sofea,unknown,"Amyra Rosli, Fadlan Hazim, Maria Farida, Sharifah Haslinda, Syafiq Kyle, Sasqia Dahuri, Raja Ema, Faye Kusairi, Puteri Octovia, Roy Azman, Norlia Ghani",Malaysia,TV-14,1 Season,"International TV Shows, TV Dramas","After discovering that she was adopted as an infant, a young woman embarks on a perilous quest to connect with her biological mother.",Netflix
s5489,Movie,DreamWorks Home: For the Holidays,unknown,"Rachel Crow, Mark Whitten, Kelly Clarkson, Ana Ortiz, Ben Schwartz, Ron Funches, Matt Jones",United States,TV-Y,46 min,"Children & Family Movies, Comedies, Music & Musicals","Oh takes it upon himself to introduce Christmas joy to his fellow Boovs. Unfortunately, his well-meaning mission nearly destroys the city.",Netflix
s5490,TV Show,Kantaro: The Sweet Tooth Salaryman,unknown,"Matsuya Onoe, Ren Ishikawa, Hiroyuki Onoue, Hazuki Shimizu, Sarutoki Minagawa",Japan,TV-PG,1 Season,"International TV Shows, TV Comedies",Elite publishing sales rep Kantaro wraps up his client visits in record time so he can secretly pursue his quest to indulge in the tastiest of sweets.,Netflix
s5491,Movie,Monster Island,Leopoldo Aguilar,"Joey Camen, Fiona Hardingham, Johnny Rose, Katie Leigh, Roger L. Jackson, Wally Wingert, Phillip Vasquez","India, Mexico",TV-Y7,81 min,Children & Family Movies,"When a teenager discovers he's not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges.",Netflix
s5492,Movie,My Happy Family,"Nana Ekvtimishvili, Simon Gross","Ia Shugliashvili, Merab Ninidze, Berta Khapava, Tsisia Qumsishvili, Giorgi Khurtsilava, Giorgi Tabidze, Goven Cheishvili, Dimitri Oragvelidze, Mariam Bokeria","Georgia, Germany, France",TV-14,119 min,"Dramas, Independent Movies, International Movies","A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself.",Netflix
s5493,TV Show,Oggy and the Cockroaches,Olivier Jean-Marie,"Don Michael Paul, Tony Sampson, Sam Vincent, Matt Hill, Greg Eagles, Peter Kelamis, Tara Strong, Rick Jones",France,TV-Y7,1 Season,"Kids' TV, TV Comedies","Wimpy blue cat Oggy would like nothing more than to snooze, but he's constantly bothered by the three ugly cockroaches who have invaded his home.",Netflix
s5494,TV Show,Padamu Aku Bersujud,unknown,"Syazwan Zulkifli, Sqikin Kamal, Leez Rosli, Bil Azali, Shenthy Feliziana, Jasmine Suraya, Aleza Shadan, Nina Iskandar",unknown,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","The son of poor farmers leaves his village to seek his fortune in Kuala Lumpur, where he meets a young woman who's also trying to better her life.",Netflix
s5495,Movie,The Worthy,Ali F. Mostafa,"Ali Suliman, Mahmoud Al Atrash, Samer al Masri, Rakeen Saad, Habib Ghuloom, Samer Ismail, Salah Hanoun, Maisa Abd Elhadi, Mohammad Al Ibrahimi, Nabeel Ahmad Alkoni","United Arab Emirates, Romania",TV-MA,99 min,"International Movies, Sci-Fi & Fantasy, Thrillers","In the near future, with civilization a thing of the past, a man puts his family in peril when he reluctantly lets outsiders into his compound.",Netflix
s5496,TV Show,TURN: Washington's Spies,unknown,"Jamie Bell, Seth Numrich, Daniel Henshall, Heather Lind, Meegan Warner, Kevin McNally, Burn Gorman, Angus Macfadyen, JJ Feild, Samuel Roukin",United States,TV-14,4 Seasons,TV Dramas,"Set in 1778, this period drama recounts the story of Abe Woodhull, an American cabbage farmer obliged to begin spying on the British enemy.",Netflix
s5497,Movie,Voyeur,"Myles Kane, Josh Koury",Gay Talese,United States,TV-MA,96 min,Documentaries,Legendary journalist Gay Talese unmasks a motel owner who spied on his guests for decades. But his bombshell story soon becomes a scandal of its own.,Netflix
s5498,TV Show,Cuckoo,unknown,"Andy Samberg, Taylor Lautner, Greg Davies, Helen Baxendale, Tamla Kari, Tyger Drew-Honey, Esther Smith",United Kingdom,TV-MA,5 Seasons,"British TV Shows, International TV Shows, TV Comedies","Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family.",Netflix
s5499,TV Show,The Greeks,unknown,Toby Moore,United States,TV-PG,1 Season,"Docuseries, Historical","Quite simply, the Greeks created our world.",Disney+
s5500,TV Show,Man Down,unknown,"Greg Davies, Roisin Conaty, Jeany Spark, Gwyneth Powell, Isy Suttie, Michael Wozniak, Elliot Levey, Ruth Bratt, Deirdre Mullins, Steven Berkoff, Stella Gonet, Rik Mayall, Ashley McGuire, Stephanie Cole",United Kingdom,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Comedies","A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad.",Netflix
s5501,TV Show,Broadchurch,unknown,"David Tennant, Olivia Colman, Andrew Buchan, Jodie Whittaker, Arthur Darvill, Jonathan Bailey, Carolyn Pickles, Adam Wilson, Charlotte Beaumont, Simone McAullay, Tanya Franks, Pauline Quirke, Phoebe Waller-Bridge, Marianne Jean-Baptiste, Charlotte Rampling, Eve Myles, James D'Arcy, Susan Brown, Vicky McClure, Will Mellor, David Bradley",United Kingdom,TV-MA,3 Seasons,"British TV Shows, Crime TV Shows, International TV Shows","After a young boy is murdered in the small seaside town of Broadchurch, local detectives Ellie Miller and Alec Hardy are assigned the mysterious case.",Netflix
s5502,Movie,Poster Boys,Shreyas Talpade,"Sunny Deol, Bobby Deol, Shreyas Talpade, Sonali Kulkarni, Tripti Dimri, Samiksha Bhatnagar, Lovely Singh, Purnima Varma",India,PG-13,128 min,"Comedies, International Movies","Three men are stunned to find their faces on a poster promoting vasectomies, and must prove to their upset loved ones that they're innocent victims.",Netflix
s5503,Movie,Cuba and the Cameraman,Jon Alpert,unknown,United States,TV-14,114 min,Documentaries,Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nation's history.,Netflix
s5504,Movie,The Girl from the Song,Ibai Abad,"Lewis Rainer, Josephine Berry, Charlotte Atkinson, Charles MacGechan",Spain,TV-MA,101 min,"Dramas, Independent Movies, International Movies","When an aspiring musician falls for a carefree college student, he follows her to the Nevada desert to declare his love to her and find himself.",Netflix
s5505,TV Show,The Many Faces of Ito,unknown,"Fumino Kimura, Nozomi Sasaki, Mirai Shida, Elaiza Ikeda, Kaho, Yuki Yamada, Tomoya Nakamura, Kei Tanaka",Japan,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A jaded rom-com screenwriter in her 30s mines four love-sick women for their stories under the guise of providing them with romantic advice.,Netflix
s5506,TV Show,Trailer Park Boys: Out of the Park: USA,unknown,"John Paul Tremblay, Robb Wells, Mike Smith, Tom Mayhue, Alex Lifeson, Sebastian Bach, Tommy Chong, Dennis Rodman, Tony Hawk, Verne Troyer, Tom Green, Riley Hawk",unknown,TV-MA,1 Season,"International TV Shows, TV Comedies","The boys are back on the loose as Bubbles, Julian and Ricky head south of the Canadian border for some outrageous American adventures.",Netflix
s5507,TV Show,Bright: The Music Videos,David Ayer,"Bastille, Machine Gun Kelly, Bebe Rexha, X Ambassadors, Logic, Rag’n’Bone Man",unknown,TV-MA,1 Season,TV Shows,"Explore the hit songs from the Will Smith film ""Bright"" in these music videos from Machine Gun Kelly, Bastille, Logic, Migos and friends.",Netflix
s5508,TV Show,Argon,unknown,"Woo-hee Chun, Joo-hyuk Kim, Won-sang Park",South Korea,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas","In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light.",Netflix
s5509,Movie,Barbra: The Music ... The Mem'ries ... The Magic!,"Barbra Streisand, Jim Gable",Barbra Streisand,United States,TV-14,109 min,Music & Musicals,"Iconic songstress Barbra Streisand culminates her 13-city tour in Miami with dazzling ballads, Broadway standards and stories from behind the scenes.",Netflix
s5510,TV Show,Derry Girls,unknown,"Saoirse-Monica Jackson, Nicola Coughlan, Louisa Harland, Jamie-Lee O'Donnell, Dylan Llewellyn, Tara Lynne O'Neill, Kathy Kiera Clarke, Tommy Tiernan, Ian McElhinney, Siobhan McSweeney",United Kingdom,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",Netflix
s5511,TV Show,Wild Hawaii,unknown,JK Simmons,United States,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",National Geographic takes us on an untamed journey to Hawaii's remarkable lands.,Disney+
s5512,TV Show,Godless,unknown,"Jeff Daniels, Michelle Dockery, Jack O'Connell, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Sam Waterston, Tantoo Cardinal",United States,TV-MA,1 Season,TV Dramas,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women.",Netflix
s5513,Movie,Beat Bugs: All Together Now,Josh Wakely,"Ashleigh Ball, Lili Beaudoin, Charles Demers, Rebecca Husain, Erin Mathews","Australia, Canada",TV-Y,51 min,"Children & Family Movies, Music & Musicals","After winning a local talent show, the Beat Bugs journey to compete on ""The Bug Factor,"" a televised singing contest held in faraway Rocket Ship Park.",Netflix
s5514,Movie,Brian Regan: Nunchucks and Flamethrowers,Troy Miller,Brian Regan,United States,TV-PG,61 min,Stand-Up Comedy,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places.",Netflix
s5515,Movie,Saving Capitalism,Jacob Kornbluth,Robert Reich,United States,TV-PG,73 min,Documentaries,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.,Netflix
s5516,Movie,A Christmas Prince,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",United States,TV-PG,92 min,"Children & Family Movies, Dramas, Romantic Movies",Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,Netflix
s5517,Movie,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Chris Smith,Jim Carrey,"Canada, United States",TV-MA,94 min,Documentaries,"Through the lens of his stunningly immersive performance as Andy Kaufman, Jim Carrey ponders the meaning of life, reality, identity and career.",Netflix
s5518,TV Show,Longmire,unknown,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Bailey Chase, Cassidy Freeman, Adam Bartley, Louanne Stephens",United States,TV-MA,6 Seasons,"Crime TV Shows, TV Dramas",This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.,Netflix
s5519,TV Show,Luna Petunia,unknown,"Ciara Alexys, Katie Griffin, Cory Doran, Jonah Wineberg",United States,TV-Y,3 Seasons,Kids' TV,"With help from her magic toy chest, fun-loving Luna Petunia enters the fantastic land of Amazia, where adventures, friendship and learning await.",Netflix
